Date,Site,X.ofSpat,Avg.Size,Average_Size,#_of_Spat,Chlorophyll.ug.m,ODO.,Sal.psu,Temp.C
6/30/22,925 LGN,0,NA,NA,3,8.08,75.9,25.33,31.862
6/30/22,925 LGN,13,3.295384615,2.673461538,22,8.08,75.9,25.33,31.862
6/30/22,990 BCH,1,4.98,NA,1,11.38,74.7,25.69,31.907
6/30/22,990 BCH,1,3.11,NA,2,11.38,74.7,25.69,31.907
6/30/22,990 BCH,0,NA,NA,1,11.38,74.7,25.69,31.907
7/1/22,1063SYM,52,5.259038462,4.500655097,216,1.51,69.4,27.23,30.564
7/1/22,1063SYM,35,6.075714286,5.378163095,108,1.51,69.4,27.23,30.564
7/1/22,1063SYM,17,5.737058824,5.006806723,117,1.51,69.4,27.23,30.564
7/1/22,461 LTH,21,6.73952381,5.794285714,30,2.29,56.3,27.54,31.125
7/1/22,461 LTH,16,4.6275,4.6925,30,2.29,56.3,27.54,31.125
7/1/22,461 LTH,13,4.571538462,3.63940171,17,2.29,56.3,27.54,31.125
7/1/22,790 BCH,3,5.326666667,NA,3,6.32,74,26.19,32.172
7/1/22,790 BCH,0,NA,NA,3,6.32,74,26.19,32.172
7/1/22,790 BCH,2,3.6,NA,2,6.32,74,26.19,32.172
7/1/22,836 SDR,27,5.326296296,4.634654321,66,3.75,55,26.72,31.361
7/1/22,836 SDR,53,4.330754717,3.460844165,119,3.75,55,26.72,31.361
7/1/22,836 SDR,29,5.325862069,4.812033388,46,3.75,55,26.72,31.361
7/1/22,940LGN,2,6.195,NA,6,4.09,74.3,26.26,30.12
7/1/22,940LGN,1,6.97,5.285436508,20,4.09,74.3,26.26,30.12
7/1/22,940LGN,8,5.31,NA,9,4.09,74.3,26.26,30.12
7/14/22,425 LTH,32,8.681875,7.026522436,50,5.36,47.7,29.76,31.168
7/14/22,425 LTH,20,9.595,6.880238095,28,5.36,47.7,29.76,31.168
7/14/22,425 LTH,4,5.62,8.06875,42,5.36,47.7,29.76,31.168
7/14/22,440GLY,0,NA,NA,3,6.97,15.9,28.54,30.961
7/14/22,440GLY,4,2.43,NA,7,6.97,15.9,28.54,30.961
7/14/22,440GLY,0,NA,NA,1,6.97,15.9,28.54,30.961
7/14/22,918 LMT,119,6.905210084,6.191622999,265,3.27,73.8,29.97,31.785
7/14/22,918 LMT,71,4.973239437,4.765977167,209,3.27,73.8,29.97,31.785
7/14/22,918 LMT,43,5.76,5.339545455,123,3.27,73.8,29.97,31.785
7/14/22,925LGN,131,3.735725191,4.560494851,322,8.97,66.8,28.2,31.835
7/14/22,925LGN,82,3.757804878,3.378205631,192,8.97,66.8,28.2,31.835
7/14/22,925LGN,27,6.194814815,5.726712477,159,8.97,66.8,28.2,31.835
7/14/22,990 BCH,16,6.2175,4.985709877,124,7.36,60,28.33,32.087
7/14/22,990 BCH,62,4.086935484,4.079213789,84,7.36,60,28.33,32.087
7/14/22,990 BCH,1,5.47,5.40817029,55,7.36,60,28.33,32.087
7/15/22,1063 SYM,131,7.591068702,7.300796395,501,4.36,59.2,30.04,30.539
7/15/22,1063 SYM,133,8.756315789,8.023292398,377,4.36,59.2,30.04,30.539
7/15/22,1063 SYM,28,7.105357143,7.710701681,183,4.36,59.2,30.04,30.539
7/15/22,461 LTH,16,12.164375,9.796592282,72,4.54,53.5,30.45,30.49
7/15/22,461 LTH,43,9.467906977,9.098090204,87,4.54,53.5,30.45,30.49
7/15/22,461 LTH,25,10.012,7.522,39,4.54,53.5,30.45,30.49
7/15/22,790 BCH,1,3.14,NA,4,9.28,48.2,28.39,30.896
7/15/22,790 BCH,6,4.156666667,5.605925926,24,9.28,48.2,28.39,30.896
7/15/22,790 BCH,2,7.455,NA,6,9.28,48.2,28.39,30.896
7/15/22,836 SDR,55,7.752181818,7.289256013,200,4.48,50.5,29.07,31.039
7/15/22,836 SDR,111,6.788288288,6.219414795,312,4.48,50.5,29.07,31.039
7/15/22,836 SDR,58,7.783965517,6.367739865,202,4.48,50.5,29.07,31.039
7/15/22,940 LGN,11,7.472727273,6.60729798,31,7.33,59.6,29.12,30.471
7/15/22,940 LGN,5,6.368,8.122923077,31,7.33,59.6,29.12,30.471
7/15/22,940 LGN,7,10.26714286,7.895436509,21,7.33,59.6,29.12,30.471
7/28/22,425 LTH,58,12.14468966,10.60822393,94,11.72,51.5,31.55,30.246
7/28/22,425 LTH,19,13.96910526,10.68993985,38,11.72,51.5,31.55,30.246
7/28/22,425 LTH,23,14.06747826,13.31462609,40,11.72,51.5,31.55,30.246
7/28/22,440 GLY,6,5.678333333,4.402944444,9,5.23,13.7,29.52,28.815
7/28/22,440 GLY,1,7.245,7.929666667,3,5.23,13.7,29.52,28.815
7/28/22,440 GLY,1,4.517,NA,1,5.23,13.7,29.52,28.815
7/28/22,918 LMT,116,10.88512931,9.215793156,313,4.94,68.2,30.95,30.095
7/28/22,918 LMT,42,7.815190476,7.042287157,182,4.94,68.2,30.95,30.095
7/28/22,918 LMT,27,7.395185185,6.990526154,96,4.94,68.2,30.95,30.095
7/28/22,925 LGN,137,9.234029197,9.133671896,551,8.48,60.1,29.52,30.421
7/28/22,925 LGN,106,8.903386792,8.270678011,317,8.48,60.1,29.52,30.421
7/28/22,925 LGN,62,8.099709677,8.920313482,283,8.48,60.1,29.52,30.421
7/28/22,990 BCH,60,9.041116667,9.813002269,256,9.84,61.5,29.85,30.793
7/28/22,990 BCH,3,6.122333333,8.776750739,102,9.84,61.5,29.85,30.793
7/28/22,990 BCH,3,5.893666667,7.949143161,71,9.84,61.5,29.85,30.793
7/29/22,1063 SYM,159,9.421987421,10.25516526,623,5.52,64.9,31.34,30.338
7/29/22,1063 SYM,130,10.51407692,10.61608849,370,5.52,64.9,31.34,30.338
7/29/22,1063 SYM,77,6.887090909,7.811779098,280,5.52,64.9,31.34,30.338
7/29/22,461 LTH,69,12.85552174,11.56849931,145,9.71,64.4,31.61,30.378
7/29/22,461 LTH,41,12.49563415,11.94918904,88,9.71,64.4,31.61,30.378
7/29/22,461 LTH,43,11.91567442,9.294163696,60,9.71,64.4,31.61,30.378
7/29/22,790 BCH,4,6.74125,7.602732456,27,7.25,66.1,29.74,30.516
7/29/22,790 BCH,1,7.424,10.05756667,14,7.25,66.1,29.74,30.516
7/29/22,790 BCH,3,11.618,8.5313,23,7.25,66.1,29.74,30.516
7/29/22,863 SDR,130,9.902030769,9.80681089,462,5.16,57.9,30,30.353
7/29/22,863 SDR,139,10.06560432,9.6192719,399,5.16,57.9,30,30.353
7/29/22,863 SDR,82,10.8459878,9.453221059,248,5.16,57.9,30,30.353
7/29/22,940 LGN,54,10.2352963,9.468009481,162,8.2,66.9,30.41,30.281
7/29/22,940 LGN,18,8.853833333,9.524609648,115,8.2,66.9,30.41,30.281
7/29/22,940 LGN,35,10.45985714,9.473025169,92,8.2,66.9,30.41,30.281
