"","Date","Site","Chlorophyll.ug.m","ODO.","Sal.psu","Temp.C"
"63","7/14/2022","425Lth",5.36,47.7,29.76,31.168
"64","7/14/2022","440Gly",6.97,15.9,28.54,30.961
"65","7/14/2022","440Gly",6.97,15.9,28.54,30.961
"66","7/14/2022","440Gly",6.97,15.9,28.54,30.961
"67","7/14/2022","918Lmt",3.27,73.8,29.97,31.785
"68","7/14/2022","918Lmt",3.27,73.8,29.97,31.785
"69","7/14/2022","918Lmt",3.27,73.8,29.97,31.785
"70","7/14/2022","925Lgn",8.97,66.8,28.2,31.835
"71","7/14/2022","925Lgn",8.97,66.8,28.2,31.835
"72","7/14/2022","925Lgn",8.97,66.8,28.2,31.835
"73","7/14/2022","990Bch",7.36,60,28.33,32.087
"74","7/14/2022","990Bch",7.36,60,28.33,32.087
"75","7/14/2022","990Bch",7.36,60,28.33,32.087
"76","7/15/2022","1063Sym",4.36,59.2,30.04,30.539
"77","7/15/2022","1063Sym",4.36,59.2,30.04,30.539
"78","7/15/2022","1063Sym",4.36,59.2,30.04,30.539
"79","7/15/2022","461Lth",4.54,53.5,30.45,30.49
"80","7/15/2022","461Lth",4.54,53.5,30.45,30.49
"81","7/15/2022","461Lth",4.54,53.5,30.45,30.49
"82","7/15/2022","790Bch",9.28,48.2,28.39,30.896
"83","7/15/2022","790Bch",9.28,48.2,28.39,30.896
"84","7/15/2022","790Bch",9.28,48.2,28.39,30.896
"85","7/15/2022","836Sdr",4.48,50.5,29.07,31.039
"86","7/15/2022","836Sdr",4.48,50.5,29.07,31.039
"87","7/15/2022","836Sdr",4.48,50.5,29.07,31.039
"88","7/15/2022","940Lgn",7.33,59.6,29.12,30.471
"89","7/15/2022","940Lgn",7.33,59.6,29.12,30.471
"90","7/15/2022","940Lgn",7.33,59.6,29.12,30.471
"91","7/28/2022","425Lth",11.72,51.5,31.55,30.246
"92","7/28/2022","425Lth",11.72,51.5,31.55,30.246
"93","7/28/2022","425Lth",11.72,51.5,31.55,30.246
"94","7/28/2022","440Gly",5.23,13.7,29.52,28.815
"95","7/28/2022","440Gly",5.23,13.7,29.52,28.815
"96","7/28/2022","440Gly",5.23,13.7,29.52,28.815
"97","7/28/2022","918Lmt",4.94,68.2,30.95,30.095
"98","7/28/2022","918Lmt",4.94,68.2,30.95,30.095
"99","7/28/2022","918Lmt",4.94,68.2,30.95,30.095
"100","7/28/2022","925Lgn",8.48,60.1,29.52,30.421
"101","7/28/2022","925Lgn",8.48,60.1,29.52,30.421
"102","7/28/2022","925Lgn",8.48,60.1,29.52,30.421
"103","7/28/2022","990Bch",9.84,61.5,29.85,30.793
"104","7/28/2022","990Bch",9.84,61.5,29.85,30.793
"105","7/28/2022","990Bch",9.84,61.5,29.85,30.793
"106","7/29/2022","1063Sym",5.52,64.9,31.34,30.338
"107","7/29/2022","1063Sym",5.52,64.9,31.34,30.338
"108","7/29/2022","1063Sym",5.52,64.9,31.34,30.338
"109","7/29/2022","461Lth",9.71,64.4,31.61,30.378
"110","7/29/2022","461Lth",9.71,64.4,31.61,30.378
"111","7/29/2022","461Lth",9.71,64.4,31.61,30.378
"112","7/29/2022","790Bch",7.25,66.1,29.74,30.516
"113","7/29/2022","790Bch",7.25,66.1,29.74,30.516
"114","7/29/2022","790Bch",7.25,66.1,29.74,30.516
"115","7/29/2022","836Sdr",5.16,57.9,30,30.353
"116","7/29/2022","836Sdr",5.16,57.9,30,30.353
"117","7/29/2022","836Sdr",5.16,57.9,30,30.353
"118","7/29/2022","940Lgn",8.2,66.9,30.41,30.281
"119","7/29/2022","940Lgn",8.2,66.9,30.41,30.281
"120","7/29/2022","940Lgn",8.2,66.9,30.41,30.281
